image,label
dataset/rime/5445.jpg,rime
dataset/frost/3703.jpg,frost
dataset/snow/1324.jpg,snow
dataset/rime/6027.jpg,rime
dataset/rime/5326.jpg,rime
dataset/rain/1694.jpg,rain
dataset/rime/5963.jpg,rime
dataset/hail/0409.jpg,hail
dataset/dew/2597.jpg,dew
dataset/rime/4993.jpg,rime
dataset/fogsmog/4752.jpg,fogsmog
dataset/rime/5772.jpg,rime
dataset/glaze/6140.jpg,glaze
dataset/hail/0066.jpg,hail
dataset/fogsmog/4133.jpg,fogsmog
dataset/fogsmog/4161.jpg,fogsmog
dataset/lightning/1978.jpg,lightning
dataset/rainbow/0649.jpg,rainbow
dataset/lightning/1979.jpg,lightning
dataset/rime/5323.jpg,rime
dataset/rime/5367.jpg,rime
dataset/rime/5914.jpg,rime
dataset/rime/5591.jpg,rime
dataset/glaze/6593.jpg,glaze
dataset/hail/0185.jpg,hail
dataset/glaze/6342.jpg,glaze
dataset/rime/5291.jpg,rime
dataset/sandstorm/3598.jpg,sandstorm
dataset/rime/5619.jpg,rime
dataset/dew/2549.jpg,dew
dataset/hail/0073.jpg,hail
dataset/rime/5706.jpg,rime
dataset/rime/6050.jpg,rime
dataset/rainbow/0779.jpg,rainbow
dataset/rime/5911.jpg,rime
dataset/dew/2390.jpg,dew
dataset/snow/1376.jpg,snow
dataset/rime/5054.jpg,rime
dataset/frost/3941.jpg,frost
dataset/rain/1664.jpg,rain
dataset/rime/6015.jpg,rime
dataset/fogsmog/4316.jpg,fogsmog
dataset/dew/2873.jpg,dew
dataset/rain/1466.jpg,rain
dataset/dew/2684.jpg,dew
dataset/fogsmog/4821.jpg,fogsmog
dataset/rain/1544.jpg,rain
dataset/glaze/6517.jpg,glaze
dataset/rime/6028.jpg,rime
dataset/dew/2344.jpg,dew
dataset/frost/3847.jpg,frost
dataset/lightning/1892.jpg,lightning
dataset/sandstorm/3421.jpg,sandstorm
dataset/snow/0843.jpg,snow
dataset/sandstorm/3191.jpg,sandstorm
dataset/glaze/6390.jpg,glaze
dataset/glaze/6123.jpg,glaze
dataset/snow/1442.jpg,snow
dataset/rain/1824.jpg,rain
dataset/rain/1235.jpg,rain
dataset/fogsmog/4818.jpg,fogsmog
dataset/hail/0527.jpg,hail
dataset/dew/2343.jpg,dew
dataset/fogsmog/4914.jpg,fogsmog
dataset/fogsmog/4646.jpg,fogsmog
dataset/glaze/6609.jpg,glaze
dataset/snow/1098.jpg,snow
dataset/fogsmog/4771.jpg,fogsmog
dataset/hail/0062.jpg,hail
dataset/hail/0067.jpg,hail
dataset/frost/3816.jpg,frost
dataset/dew/2234.jpg,dew
dataset/rime/5479.jpg,rime
dataset/sandstorm/3272.jpg,sandstorm
dataset/rime/5553.jpg,rime
dataset/fogsmog/4482.jpg,fogsmog
dataset/rain/1513.jpg,rain
dataset/lightning/2161.jpg,lightning
dataset/rain/1689.jpg,rain
dataset/fogsmog/4478.jpg,fogsmog
dataset/rime/5070.jpg,rime
dataset/hail/0150.jpg,hail
dataset/dew/2783.jpg,dew
dataset/fogsmog/4581.jpg,fogsmog
dataset/rime/5777.jpg,rime
dataset/sandstorm/3215.jpg,sandstorm
dataset/rainbow/0648.jpg,rainbow
dataset/fogsmog/4916.jpg,fogsmog
dataset/fogsmog/4149.jpg,fogsmog
dataset/sandstorm/3568.jpg,sandstorm
dataset/rime/5456.jpg,rime
dataset/sandstorm/3203.jpg,sandstorm
dataset/rime/4940.jpg,rime
dataset/hail/0530.jpg,hail
dataset/frost/3954.jpg,frost
dataset/hail/0452.jpg,hail
dataset/rainbow/0682.jpg,rainbow
dataset/dew/2822.jpg,dew
dataset/rain/1679.jpg,rain
dataset/rain/1744.jpg,rain
dataset/rime/5586.jpg,rime
dataset/snow/0867.jpg,snow
dataset/dew/2273.jpg,dew
dataset/glaze/6407.jpg,glaze
dataset/rain/1724.jpg,rain
dataset/hail/0225.jpg,hail
dataset/dew/2810.jpg,dew
dataset/snow/0839.jpg,snow
dataset/snow/1091.jpg,snow
dataset/dew/2334.jpg,dew
dataset/frost/3718.jpg,frost
dataset/dew/2315.jpg,dew
dataset/snow/1120.jpg,snow
dataset/rime/5404.jpg,rime
dataset/hail/0037.jpg,hail
dataset/hail/0351.jpg,hail
dataset/rime/5239.jpg,rime
dataset/snow/1152.jpg,snow
dataset/rime/5905.jpg,rime
dataset/frost/4051.jpg,frost
dataset/rime/5198.jpg,rime
dataset/rime/5111.jpg,rime
dataset/fogsmog/4528.jpg,fogsmog
dataset/rainbow/0603.jpg,rainbow
dataset/sandstorm/3417.jpg,sandstorm
dataset/glaze/6292.jpg,glaze
dataset/glaze/6327.jpg,glaze
dataset/hail/0206.jpg,hail
dataset/glaze/6705.jpg,glaze
dataset/dew/2616.jpg,dew
dataset/glaze/6610.jpg,glaze
dataset/rime/5886.jpg,rime
dataset/frost/3811.jpg,frost
dataset/glaze/6228.jpg,glaze
dataset/glaze/6296.jpg,glaze
