image,label
augmented_dataset/rime/5445_aug.jpg,rime
augmented_dataset/frost/3703_aug.jpg,frost
augmented_dataset/snow/1324_aug.jpg,snow
augmented_dataset/rime/6027_aug.jpg,rime
augmented_dataset/rime/5326_aug.jpg,rime
augmented_dataset/rain/1694_aug.jpg,rain
augmented_dataset/rime/5963_aug.jpg,rime
augmented_dataset/hail/0409_aug.jpg,hail
augmented_dataset/dew/2597_aug.jpg,dew
augmented_dataset/rime/4993_aug.jpg,rime
augmented_dataset/fogsmog/4752_aug.jpg,fogsmog
augmented_dataset/rime/5772_aug.jpg,rime
augmented_dataset/glaze/6140_aug.jpg,glaze
augmented_dataset/hail/0066_aug.jpg,hail
augmented_dataset/fogsmog/4133_aug.jpg,fogsmog
augmented_dataset/fogsmog/4161_aug.jpg,fogsmog
augmented_dataset/lightning/1978_aug.jpg,lightning
augmented_dataset/rainbow/0649_aug.jpg,rainbow
augmented_dataset/lightning/1979_aug.jpg,lightning
augmented_dataset/rime/5323_aug.jpg,rime
augmented_dataset/rime/5367_aug.jpg,rime
augmented_dataset/rime/5914_aug.jpg,rime
augmented_dataset/rime/5591_aug.jpg,rime
augmented_dataset/glaze/6593_aug.jpg,glaze
augmented_dataset/hail/0185_aug.jpg,hail
augmented_dataset/glaze/6342_aug.jpg,glaze
augmented_dataset/rime/5291_aug.jpg,rime
augmented_dataset/sandstorm/3598_aug.jpg,sandstorm
augmented_dataset/rime/5619_aug.jpg,rime
augmented_dataset/dew/2549_aug.jpg,dew
augmented_dataset/hail/0073_aug.jpg,hail
augmented_dataset/rime/5706_aug.jpg,rime
augmented_dataset/rime/6050_aug.jpg,rime
augmented_dataset/rainbow/0779_aug.jpg,rainbow
augmented_dataset/rime/5911_aug.jpg,rime
augmented_dataset/dew/2390_aug.jpg,dew
augmented_dataset/snow/1376_aug.jpg,snow
augmented_dataset/rime/5054_aug.jpg,rime
augmented_dataset/frost/3941_aug.jpg,frost
augmented_dataset/rain/1664_aug.jpg,rain
augmented_dataset/rime/6015_aug.jpg,rime
augmented_dataset/fogsmog/4316_aug.jpg,fogsmog
augmented_dataset/dew/2873_aug.jpg,dew
augmented_dataset/rain/1466_aug.jpg,rain
augmented_dataset/dew/2684_aug.jpg,dew
augmented_dataset/fogsmog/4821_aug.jpg,fogsmog
augmented_dataset/rain/1544_aug.jpg,rain
augmented_dataset/glaze/6517_aug.jpg,glaze
augmented_dataset/rime/6028_aug.jpg,rime
augmented_dataset/dew/2344_aug.jpg,dew
augmented_dataset/frost/3847_aug.jpg,frost
augmented_dataset/lightning/1892_aug.jpg,lightning
augmented_dataset/sandstorm/3421_aug.jpg,sandstorm
augmented_dataset/snow/0843_aug.jpg,snow
augmented_dataset/sandstorm/3191_aug.jpg,sandstorm
