filepath,label,split
dataset/hail/0542.jpg,hail,train
dataset/rain/1813.jpg,rain,train
dataset/glaze/6444.jpg,glaze,train
dataset/snow/0931.jpg,snow,train
dataset/dew/2898.jpg,dew,train
dataset/dew/2383.jpg,dew,train
dataset/rime/5118.jpg,rime,train
dataset/hail/0379.jpg,hail,train
dataset/frost/3697.jpg,frost,val
dataset/fogsmog/4794.jpg,fogsmog,train
dataset/hail/0153.jpg,hail,train
dataset/rainbow/0625.jpg,rainbow,train
dataset/rime/5901.jpg,rime,train
dataset/glaze/6214.jpg,glaze,train
dataset/snow/1416.jpg,snow,test
dataset/glaze/6137.jpg,glaze,test
dataset/rime/5359.jpg,rime,train
dataset/snow/1273.jpg,snow,test
dataset/fogsmog/4167.jpg,fogsmog,train
dataset/lightning/2191.jpg,lightning,val
dataset/rime/5589.jpg,rime,train
dataset/lightning/2110.jpg,lightning,train
dataset/rainbow/0595.jpg,rainbow,train
dataset/hail/0092.jpg,hail,val
dataset/snow/1027.jpg,snow,train
dataset/rainbow/0638.jpg,rainbow,train
dataset/glaze/6610.jpg,glaze,test
dataset/fogsmog/4223.jpg,fogsmog,train
dataset/sandstorm/3343.jpg,sandstorm,train
dataset/sandstorm/2992.jpg,sandstorm,val
dataset/fogsmog/4654.jpg,fogsmog,train
dataset/rain/1745.jpg,rain,test
dataset/fogsmog/4497.jpg,fogsmog,train
dataset/rain/1114.jpg,rain,val
dataset/snow/1118.jpg,snow,train
dataset/rime/5634.jpg,rime,train
dataset/sandstorm/3460.jpg,sandstorm,train
dataset/sandstorm/3407.jpg,sandstorm,val
dataset/frost/3840.jpg,frost,train
dataset/frost/3723.jpg,frost,train
dataset/frost/3916.jpg,frost,train
dataset/rainbow/0664.jpg,rainbow,test
dataset/frost/3777.jpg,frost,train
dataset/dew/2841.jpg,dew,train
dataset/snow/0945.jpg,snow,test
dataset/sandstorm/3488.jpg,sandstorm,test
dataset/hail/0207.jpg,hail,train
dataset/rime/5762.jpg,rime,val
dataset/glaze/6481.jpg,glaze,train
dataset/sandstorm/3147.jpg,sandstorm,train
dataset/rime/6008.jpg,rime,test
dataset/fogsmog/4733.jpg,fogsmog,val
dataset/rime/5377.jpg,rime,train
dataset/snow/1167.jpg,snow,train
dataset/glaze/6400.jpg,glaze,train
dataset/dew/2370.jpg,dew,train
dataset/rime/5409.jpg,rime,train
dataset/rime/4998.jpg,rime,test
dataset/sandstorm/3390.jpg,sandstorm,train
dataset/rime/5314.jpg,rime,test
dataset/hail/0188.jpg,hail,train
dataset/rainbow/0691.jpg,rainbow,test
dataset/rain/1575.jpg,rain,train
dataset/sandstorm/2976.jpg,sandstorm,val
dataset/hail/0298.jpg,hail,train
dataset/fogsmog/4219.jpg,fogsmog,val
dataset/fogsmog/4369.jpg,fogsmog,train
dataset/dew/2872.jpg,dew,train
dataset/glaze/6646.jpg,glaze,train
dataset/snow/0934.jpg,snow,test
dataset/lightning/1988.jpg,lightning,train
dataset/rain/1588.jpg,rain,test
dataset/rime/5852.jpg,rime,train
dataset/dew/2711.jpg,dew,val
dataset/dew/2277.jpg,dew,train
dataset/hail/0062.jpg,hail,val
dataset/sandstorm/3556.jpg,sandstorm,train
dataset/snow/1321.jpg,snow,train
dataset/frost/3741.jpg,frost,train
dataset/dew/2452.jpg,dew,val
dataset/glaze/6707.jpg,glaze,test
dataset/snow/0959.jpg,snow,train
dataset/rime/5824.jpg,rime,train
dataset/glaze/6497.jpg,glaze,train
dataset/rain/1693.jpg,rain,test
dataset/rime/5560.jpg,rime,train
dataset/sandstorm/3455.jpg,sandstorm,train
dataset/rain/1722.jpg,rain,test
dataset/frost/3712.jpg,frost,test
dataset/glaze/6700.jpg,glaze,train
dataset/rain/1572.jpg,rain,test
dataset/snow/1063.jpg,snow,test
dataset/dew/2880.jpg,dew,train
dataset/sandstorm/3336.jpg,sandstorm,test
dataset/fogsmog/4653.jpg,fogsmog,train
dataset/rime/5605.jpg,rime,val
dataset/hail/0054.jpg,hail,test
dataset/frost/3830.jpg,frost,train
dataset/rime/5324.jpg,rime,train
dataset/rime/5765.jpg,rime,train
dataset/hail/0364.jpg,hail,test
dataset/dew/2281.jpg,dew,test
dataset/sandstorm/3049.jpg,sandstorm,test
dataset/hail/0314.jpg,hail,train
dataset/rime/5947.jpg,rime,train
dataset/glaze/6433.jpg,glaze,train
dataset/dew/2343.jpg,dew,test
dataset/snow/1271.jpg,snow,test
dataset/dew/2635.jpg,dew,test
dataset/snow/1070.jpg,snow,train
dataset/lightning/2048.jpg,lightning,val
dataset/dew/2368.jpg,dew,train
dataset/snow/1332.jpg,snow,train
dataset/snow/1404.jpg,snow,train
dataset/rainbow/0658.jpg,rainbow,train
dataset/sandstorm/2940.jpg,sandstorm,train
dataset/glaze/6233.jpg,glaze,train
dataset/rain/1583.jpg,rain,train
dataset/dew/2255.jpg,dew,train
dataset/dew/2326.jpg,dew,train
dataset/rime/5538.jpg,rime,train
dataset/glaze/6708.jpg,glaze,val
dataset/rime/5231.jpg,rime,test
dataset/dew/2285.jpg,dew,train
dataset/glaze/6253.jpg,glaze,test
dataset/rime/5992.jpg,rime,train
dataset/frost/4018.jpg,frost,train
dataset/rain/1790.jpg,rain,train
dataset/snow/1180.jpg,snow,train
dataset/fogsmog/4548.jpg,fogsmog,train
dataset/snow/1274.jpg,snow,train
dataset/dew/2777.jpg,dew,train
dataset/dew/2465.jpg,dew,test
dataset/rain/1602.jpg,rain,train
dataset/frost/3638.jpg,frost,train
dataset/rime/6078.jpg,rime,test
dataset/snow/1392.jpg,snow,train
dataset/glaze/6697.jpg,glaze,train
dataset/rain/1585.jpg,rain,train
dataset/fogsmog/4492.jpg,fogsmog,train
dataset/snow/0862.jpg,snow,train
dataset/lightning/2088.jpg,lightning,train
dataset/fogsmog/4503.jpg,fogsmog,test
dataset/glaze/6332.jpg,glaze,train
dataset/hail/0590.jpg,hail,test
dataset/sandstorm/2946.jpg,sandstorm,train
dataset/lightning/1858.jpg,lightning,train
dataset/snow/1015.jpg,snow,train
dataset/rime/5075.jpg,rime,train
dataset/snow/1292.jpg,snow,test
dataset/fogsmog/4316.jpg,fogsmog,train
dataset/snow/1173.jpg,snow,val
dataset/frost/3640.jpg,frost,train
dataset/glaze/6171.jpg,glaze,train
dataset/rime/5642.jpg,rime,train
dataset/frost/3935.jpg,frost,train
dataset/sandstorm/2936.jpg,sandstorm,test
dataset/sandstorm/3106.jpg,sandstorm,test
dataset/rain/105.jpg,rain,train
dataset/glaze/6222.jpg,glaze,train
dataset/rime/6088.jpg,rime,train
dataset/lightning/2129.jpg,lightning,train
dataset/sandstorm/3169.jpg,sandstorm,train
dataset/glaze/6154.jpg,glaze,train
dataset/fogsmog/4766.jpg,fogsmog,train
dataset/hail/0445.jpg,hail,train
dataset/glaze/6122.jpg,glaze,train
dataset/dew/2213.jpg,dew,test
dataset/hail/0518.jpg,hail,test
dataset/dew/2717.jpg,dew,val
dataset/hail/0243.jpg,hail,train
dataset/glaze/6535.jpg,glaze,train
dataset/sandstorm/3571.jpg,sandstorm,test
dataset/dew/2669.jpg,dew,train
dataset/frost/3621.jpg,frost,train
dataset/hail/0283.jpg,hail,train
dataset/snow/1120.jpg,snow,test
dataset/snow/1101.jpg,snow,test
dataset/rain/1611.jpg,rain,train
dataset/snow/1354.jpg,snow,test
dataset/lightning/1915.jpg,lightning,train
dataset/hail/0050.jpg,hail,val
dataset/sandstorm/3171.jpg,sandstorm,train
dataset/glaze/6585.jpg,glaze,val
dataset/sandstorm/2997.jpg,sandstorm,test
dataset/rime/5759.jpg,rime,test
dataset/fogsmog/4483.jpg,fogsmog,train
